gamma,include_state_pred,best_timestep,i_episode
0.0,False,10000,87
0.0,False,987,500
0.0,False,10000,253
0.0,False,10000,201
0.0,False,10000,453
0.0,False,10000,26
0.0,False,94,500
0.0,False,61,500
0.0,False,10000,143
0.0,False,10000,283
0.0,False,191,500
0.0,False,10000,44
0.0,False,1030,500
0.0,False,90,500
0.0,False,71,500
0.0,False,213,500
0.0,False,10000,81
0.0,False,3436,500
0.0,False,10000,116
0.0,False,305,500
0.0,False,70,500
0.0,False,66,500
0.0,False,50,500
0.0,False,96,500
0.0,False,1595,500
0.0,False,133,500
0.0,False,10000,95
0.0,False,10000,51
0.0,False,49,500
0.0,False,10000,102
0.0,False,289,500
0.0,False,181,500
0.0,False,532,500
0.0,False,10000,370
0.0,False,52,500
0.0,False,10000,163
0.0,False,10000,267
0.0,False,10000,391
0.0,False,123,500
0.0,False,168,500
0.0,False,1824,500
0.0,False,117,500
0.0,False,7634,500
0.0,False,10000,140
0.0,False,10000,145
0.0,False,317,500
0.0,False,68,500
0.0,False,1473,500
0.0,False,54,500
0.0,False,10000,112
0.0,False,1590,500
0.0,False,10000,160
0.0,False,10000,419
0.0,False,964,500
0.0,False,42,500
0.0,False,45,500
0.0,False,52,500
0.0,False,10000,81
0.0,False,10000,48
0.0,False,469,500
0.0,False,10000,96
0.0,False,10000,40
0.0,False,1515,500
0.0,False,7577,500
0.0,False,10000,360
0.0,False,10000,121
0.0,False,68,500
0.0,False,78,500
0.0,False,1143,500
0.0,False,10000,71
0.0,False,10000,382
0.0,False,10000,199
0.0,False,10000,80
0.0,False,10000,18
0.0,False,10000,55
0.0,False,91,500
0.0,False,914,500
