gamma,include_state_pred,best_timestep,i_episode
0.0,True,10000,49
0.0,True,10000,54
0.0,True,4054,500
0.0,True,301,500
0.0,True,10000,168
0.0,True,561,500
0.0,True,10000,78
0.0,True,639,500
0.0,True,10000,106
0.0,True,10000,101
0.0,True,258,500
0.0,True,10000,86
0.0,True,173,500
0.0,True,10000,356
0.0,True,10000,178
0.0,True,1561,500
0.0,True,1032,500
0.0,True,5181,500
0.0,True,649,500
0.0,True,10000,208
0.0,True,594,500
0.0,True,8801,500
0.0,True,5950,500
0.0,True,10000,188
0.0,True,57,500
0.0,True,10000,24
0.0,True,10000,38
0.0,True,48,500
0.0,True,926,500
0.0,True,54,500
0.0,True,63,500
0.0,True,55,500
0.0,True,10000,111
0.0,True,45,500
0.0,True,10000,99
0.0,True,10000,59
0.0,True,1120,500
0.0,True,898,500
0.0,True,48,500
0.0,True,125,500
0.0,True,10000,167
0.0,True,10000,201
0.0,True,10000,105
0.0,True,804,500
0.0,True,858,500
0.0,True,45,500
0.0,True,10000,424
0.0,True,10000,134
0.0,True,111,500
0.0,True,10000,54
0.0,True,88,500
0.0,True,10000,109
0.0,True,10000,181
0.0,True,10000,198
0.0,True,79,500
0.0,True,159,500
0.0,True,1183,500
0.0,True,10000,337
0.0,True,10000,39
0.0,True,10000,315
0.0,True,10000,319
0.0,True,105,500
0.0,True,10000,89
0.0,True,10000,129
0.0,True,3781,500
0.0,True,709,500
0.0,True,339,500
0.0,True,134,500
0.0,True,10000,33
0.0,True,10000,180
0.0,True,10000,194
0.0,True,9303,500
0.0,True,1050,500
0.0,True,10000,307
0.0,True,10000,136
0.0,True,10000,126
